Process Instance;Activity Name;Arrival;Start;Complete;Resources;Batch Number;Cluster Id;Batch Type;Natural Arrival Time
1;Entrada Material Sucio;2021-12-31 18:00:00;2022-01-01 01:00:00;2022-01-01 01:21:07;Usuario_AV;1;sid-5CBD3FF6-7B24-4CF2-8A46-F93DC969E27F;PARALLEL;
1;Cargado en carro L+D;2022-01-01 01:21:07;2022-01-01 01:21:07;2022-01-01 01:30:38;Usuario_AV;1;sid-7EA6B7E4-DF8E-409C-BA8B-67277BC5B31E;PARALLEL;
1;Carga L+D iniciada;2022-01-01 01:30:38;2022-01-01 01:30:38;2022-01-01 01:38:17;Usuario_AV;1;sid-AC68D104-4A40-4D25-A104-EF41EB1745A2;PARALLEL;
1;Instrumental normal;2022-01-01 01:38:17;2022-01-01 01:38:17;2022-01-01 02:38:17;Lavadora_#2;1;sid-B97A3A60-5F52-4BF8-81D8-7C005B14880E;PARALLEL;
1;Carga L+D liberada;2022-01-01 02:38:17;2022-01-01 02:38:17;2022-01-01 02:51:28;Usuario_AV;1;sid-0843CAC2-1650-439C-A750-FF8B35823E8A;PARALLEL;
1;assemply;2022-01-01 02:51:28;2022-01-01 02:51:28;2022-01-01 02:51:28;Usuario_AV;1;Activity_0n8tvc1;SEQUENTIAL_TASKBASED;
1;Montaje;2022-01-01 02:51:28;2022-01-01 02:51:28;2022-01-01 02:51:28;;1;Activity_0n8tvc1;SEQUENTIAL_TASKBASED;2022-01-01 02:51:28
1;Producción montada;2022-01-01 02:51:28;2022-01-01 02:51:28;2022-01-01 02:51:28;;1;Activity_0n8tvc1;SEQUENTIAL_TASKBASED;2022-01-01 02:51:28
1;Composición de cargas;2022-01-01 02:51:28;2022-01-01 02:51:28;2022-01-01 02:59:07;Usuario_AV;1;sid-1E2C1856-73F2-4126-A306-F50DE79D3093;PARALLEL;
1;PRIONES;2022-01-01 02:59:07;2022-01-01 02:59:07;2022-01-01 04:08:42;Autoclave_#2;1;sid-C2BAE868-4117-4EC9-965B-EB16ABA26E8A;PARALLEL;
1;Carga de esterilizador liberada;2022-01-01 04:08:42;2022-01-01 04:08:42;2022-01-01 04:14:28;Usuario_AV;1;sid-B6CA039C-A65D-4FB9-A43D-46FA7BADDBC4;PARALLEL;
2;Entrada Material Sucio;2022-01-01 07:12:04;2022-01-01 07:12:04;2022-01-01 07:25:26;Usuario_AV;2;sid-5CBD3FF6-7B24-4CF2-8A46-F93DC969E27F;PARALLEL;
2;Cargado en carro L+D;2022-01-01 07:25:26;2022-01-01 07:25:26;2022-01-01 07:30:40;Usuario_AV;2;sid-7EA6B7E4-DF8E-409C-BA8B-67277BC5B31E;PARALLEL;
2;Carga L+D iniciada;2022-01-01 07:30:40;2022-01-01 07:30:40;2022-01-01 07:31:33;Usuario_AV;2;sid-AC68D104-4A40-4D25-A104-EF41EB1745A2;PARALLEL;
2;Instrumental normal;2022-01-01 07:31:33;2022-01-01 07:31:33;2022-01-01 08:31:33;Lavadora_#0;2;sid-B97A3A60-5F52-4BF8-81D8-7C005B14880E;PARALLEL;
2;Carga L+D liberada;2022-01-01 08:31:33;2022-01-01 08:31:33;2022-01-01 08:37:52;Usuario_BM;2;sid-0843CAC2-1650-439C-A750-FF8B35823E8A;PARALLEL;
2;assemply;2022-01-01 08:37:52;2022-01-01 08:37:52;2022-01-01 08:37:52;Usuario_BM;2;Activity_0n8tvc1;SEQUENTIAL_TASKBASED;
2;Montaje;2022-01-01 08:37:52;2022-01-01 08:37:52;2022-01-01 08:37:52;;2;Activity_0n8tvc1;SEQUENTIAL_TASKBASED;2022-01-01 08:37:52
2;Producción montada;2022-01-01 08:37:52;2022-01-01 08:37:52;2022-01-01 08:37:52;;2;Activity_0n8tvc1;SEQUENTIAL_TASKBASED;2022-01-01 08:37:52
2;Composición de cargas;2022-01-01 08:37:52;2022-01-01 08:37:52;2022-01-01 08:38:45;Usuario_BM;2;sid-1E2C1856-73F2-4126-A306-F50DE79D3093;PARALLEL;
2;INTRUM;2022-01-01 08:38:45;2022-01-01 08:38:45;2022-01-01 09:48:20;Autoclave_#0;1;sid-257780B6-2484-4B65-891F-01BF1C344E5E;PARALLEL;
2;Carga de esterilizador liberada;2022-01-01 09:48:20;2022-01-01 09:48:20;2022-01-01 09:49:35;Usuario_BM;2;sid-B6CA039C-A65D-4FB9-A43D-46FA7BADDBC4;PARALLEL;
3;Entrada Material Sucio;2022-01-01 18:19:41;2022-01-02 01:00:00;2022-01-02 01:23:55;Usuario_AV;3;sid-5CBD3FF6-7B24-4CF2-8A46-F93DC969E27F;PARALLEL;
3;Cargado en carro L+D;2022-01-02 01:23:55;2022-01-02 01:23:55;2022-01-02 01:34:59;Usuario_AV;3;sid-7EA6B7E4-DF8E-409C-BA8B-67277BC5B31E;PARALLEL;
3;Carga L+D iniciada;2022-01-02 01:34:59;2022-01-02 01:34:59;2022-01-02 01:40:29;Usuario_AV;3;sid-AC68D104-4A40-4D25-A104-EF41EB1745A2;PARALLEL;
3;Instrumental normal;2022-01-02 01:40:29;2022-01-02 01:40:29;2022-01-02 02:40:29;Lavadora_#2;3;sid-B97A3A60-5F52-4BF8-81D8-7C005B14880E;PARALLEL;
3;Carga L+D liberada;2022-01-02 02:40:29;2022-01-02 02:40:29;2022-01-02 02:56:09;Usuario_AV;3;sid-0843CAC2-1650-439C-A750-FF8B35823E8A;PARALLEL;
3;assemply;2022-01-02 02:56:09;2022-01-02 02:56:09;2022-01-02 02:56:09;Usuario_AV;3;Activity_0n8tvc1;SEQUENTIAL_TASKBASED;
3;Montaje;2022-01-02 02:56:09;2022-01-02 02:56:09;2022-01-02 02:56:09;;3;Activity_0n8tvc1;SEQUENTIAL_TASKBASED;2022-01-02 02:56:09
3;Producción montada;2022-01-02 02:56:09;2022-01-02 02:56:09;2022-01-02 02:56:09;;3;Activity_0n8tvc1;SEQUENTIAL_TASKBASED;2022-01-02 02:56:09
