0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,bm,bpm,timestamp-diff
EXT-QUI.GOMA-0,EXT-QUI.GOMA-0,EXT-QUI.495NCS-0,EXT-QUI.495NCS-0,EXT-QUI.495NCS-0,EXT-QUI.495NCS-0,EXT-QUI.HARM-0,HUBU-HOS.HMDL.BM065R-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b905,b905,0 days 00:00:00
EXT-QUI.GOMA-0,EXT-QUI.GOMA-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b10572,b47177,0 days 02:27:00
EXT-QUI.GOMA-0,EXT-QUI.GOMA-0,EXT-QUI.495NCS-0,EXT-QUI.495NCS-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b11145,b10683,3 days 17:19:00
EXT-QUI.GOMA-0,EXT-QUI.GOMA-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b10572,b47175,0 days 02:27:00
EXT-QUI.GOMA-0,EXT-QUI.GOMA-0,EXT-QUI.GOMA-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b10572,b9640,2 days 02:34:00
EXT-QUI.GOMA-0,EXT-QUI.GOMA-0,EXT-QUI.GOMA-0,EXT-QUI.GOMA-0,EXT-QUI.GOMA-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b10572,b9906,1 days 20:52:00
EXT-QUI.GOMA-0,EXT-QUI.495NCS-0,EXT-QUI.495NCS-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b11145,b9861,5 days 21:03:00
EXT-QUI.GOMA-0,EXT-QUI.495NCS-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b11145,b9920,5 days 18:23:00
EXT-QUI.GOMA-0,EXT-QUI.495NCS-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b11644,b49130,0 days 00:00:00
EXT-QUI.GOMA-0,EXT-QUI.495NCS-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b11145,b36206,30 days 23:55:00
