id,code,ns,count
DEP-QUI.TRA.STRYK-21,DEP-QUI.TRA.STRYK,21,1.0
DEP-QUI.TRA.STRYK-22,DEP-QUI.TRA.STRYK,22,1.0
DEP-QUI.TRA.STRYK-24,DEP-QUI.TRA.STRYK,24,1.0
DEP-QUI.TRA.STRYK-28,DEP-QUI.TRA.STRYK,28,1.0
DEP-QUI.TRA.STRYK-3,DEP-QUI.TRA.STRYK,3,1.0
DEP-QUI.TRA.STRYK-30,DEP-QUI.TRA.STRYK,30,1.0
DEP-QUI.TRA.STRYK-36,DEP-QUI.TRA.STRYK,36,1.0
DEP-QUI.TRA.STRYK-37,DEP-QUI.TRA.STRYK,37,1.0
DEP-QUI.TRA.STRYK-4,DEP-QUI.TRA.STRYK,4,1.0
DEP-QUI.TRA.STRYK-40,DEP-QUI.TRA.STRYK,40,1.0
DEP-QUI.TRA.STRYK-42,DEP-QUI.TRA.STRYK,42,1.0
DEP-QUI.TRA.STRYK-44,DEP-QUI.TRA.STRYK,44,1.0
DEP-QUI.TRA.STRYK-45,DEP-QUI.TRA.STRYK,45,1.0
DEP-QUI.TRA.STRYK-46,DEP-QUI.TRA.STRYK,46,1.0
DEP-QUI.TRA.STRYK-47,DEP-QUI.TRA.STRYK,47,1.0
DEP-QUI.TRA.STRYK-48,DEP-QUI.TRA.STRYK,48,1.0
DEP-QUI.TRA.STRYK-49,DEP-QUI.TRA.STRYK,49,1.0
DEP-QUI.TRA.STRYK-5,DEP-QUI.TRA.STRYK,5,1.0
DEP-QUI.TRA.STRYK-50,DEP-QUI.TRA.STRYK,50,1.0
DEP-QUI.TRA.STRYK-51,DEP-QUI.TRA.STRYK,51,1.0
DEP-QUI.TRA.STRYK-52,DEP-QUI.TRA.STRYK,52,1.0
DEP-QUI.TRA.STRYK-54,DEP-QUI.TRA.STRYK,54,1.0
DEP-QUI.TRA.STRYK-55,DEP-QUI.TRA.STRYK,55,1.0
DEP-QUI.TRA.STRYK-56,DEP-QUI.TRA.STRYK,56,1.0
DEP-QUI.TRA.STRYK-58,DEP-QUI.TRA.STRYK,58,1.0
DEP-QUI.TRA.STRYK-59,DEP-QUI.TRA.STRYK,59,1.0
DEP-QUI.TRA.STRYK-6,DEP-QUI.TRA.STRYK,6,1.0
DEP-QUI.TRA.STRYK-60,DEP-QUI.TRA.STRYK,60,1.0
DEP-QUI.TRA.STRYK-61,DEP-QUI.TRA.STRYK,61,1.0
DEP-QUI.TRA.STRYK-65,DEP-QUI.TRA.STRYK,65,1.0
DEP-QUI.TRA.STRYK-7,DEP-QUI.TRA.STRYK,7,1.0
DEP-QUI.TRA.STRYK-9,DEP-QUI.TRA.STRYK,9,1.0
DEP-QUI.TRA.ZIMMER-1,DEP-QUI.TRA.ZIMMER,1,1.0
DEP-QUI.TRA.ZIMMER-25,DEP-QUI.TRA.ZIMMER,25,1.0
DEP-QUI.TRA.ZIMMER-3,DEP-QUI.TRA.ZIMMER,3,1.0
DEP-QUI.TRA.ZIMMER-30,DEP-QUI.TRA.ZIMMER,30,1.0
DEP-QUI.TRA.ZIMMER-31,DEP-QUI.TRA.ZIMMER,31,1.0
DEP-QUI.TRA.ZIMMER-4,DEP-QUI.TRA.ZIMMER,4,1.0
DEP-QUI.TRA.ZIMMER-41,DEP-QUI.TRA.ZIMMER,41,1.0
DEP-QUI.TRA.ZIMMER-45,DEP-QUI.TRA.ZIMMER,45,1.0
DEP-QUI.TRA.ZIMMER-48,DEP-QUI.TRA.ZIMMER,48,1.0
DEP-QUI.TRA.ZIMMER-49,DEP-QUI.TRA.ZIMMER,49,1.0
DEP-QUI.TRA.ZIMMER-50,DEP-QUI.TRA.ZIMMER,50,1.0
DEP-QUI.TRA.ZIMMER-51,DEP-QUI.TRA.ZIMMER,51,1.0
DEP-QUI.TRA.ZIMMER-52,DEP-QUI.TRA.ZIMMER,52,1.0
DEP-QUI.TRA.ZIMMER-53,DEP-QUI.TRA.ZIMMER,53,1.0
DEP-QUI.TRA.ZIMMER-54,DEP-QUI.TRA.ZIMMER,54,1.0
DEP-QUI.TRA.ZIMMER-55,DEP-QUI.TRA.ZIMMER,55,1.0
DEP-QUI.TRA.ZIMMER-56,DEP-QUI.TRA.ZIMMER,56,1.0
DEP-QUI.TRA.ZIMMER-57,DEP-QUI.TRA.ZIMMER,57,1.0
DEP-QUI.TRA.ZIMMER-58,DEP-QUI.TRA.ZIMMER,58,1.0
DEP-QUI.TRA.ZIMMER-59,DEP-QUI.TRA.ZIMMER,59,1.0
