process_cycle,repetition
"Montaje, Producción montada, Producción montada, Producción montada, Producción montada, Producción montada, Producción montada, Producción montada, Composición de cargas, Composición de cargas, Composición de cargas, Composición de cargas, Composición de cargas, Composición de cargas, Composición de cargas, Carga de esterilizador liberada, Carga de esterilizador liberada, Carga de esterilizador liberada, Carga de esterilizador liberada, Carga de esterilizador liberada, Carga de esterilizador liberada, Carga de esterilizador liberada, Comisionado",35
"Montaje, Producción montada, Composición de cargas, Carga de esterilizador liberada, Montaje, Producción montada, Composición de cargas, Carga de esterilizador liberada, Comisionado",35
"Cargado en carro L+D, Carga L+D iniciada, Carga L+D liberada, Cargado en carro L+D, Carga L+D iniciada, Carga L+D liberada",34
"Entrada Material Sucio, Cargado en carro L+D",31
"Entrada Material Sucio, Cargado en carro L+D, Carga L+D iniciada, Carga L+D liberada, Montaje, Producción montada, Composición de cargas, Composición de cargas, Carga de esterilizador liberada, Comisionado",31
"Entrada Material Sucio, Cargado en carro L+D, Carga L+D iniciada, Cargado en carro L+D, Carga L+D iniciada, Carga L+D liberada, Montaje, Producción montada, Composición de cargas, Carga de esterilizador liberada, Comisionado",30
"Montaje, Producción montada, Composición de cargas, Montaje, Producción montada, Composición de cargas, Carga de esterilizador liberada, Comisionado",29
"Composición de cargas, Carga de esterilizador liberada, Comisionado",28
"Entrada Material Sucio, Cargado en carro L+D, Carga L+D iniciada, Cargado en carro L+D, Carga L+D liberada",25
"Entrada Material Sucio, Cargado en carro L+D, Carga L+D iniciada, Cargado en carro L+D, Carga L+D iniciada, Carga L+D liberada, Carga L+D liberada, Montaje, Producción montada, Composición de cargas, Carga de esterilizador liberada",24
"Entrada Material Sucio, Cargado en carro L+D, Carga L+D iniciada, Carga L+D iniciada, Carga L+D liberada",24
"Entrada Material Sucio, Carga L+D iniciada, Carga L+D liberada",24
"Montaje, Producción montada, Producción montada, Producción montada, Producción montada, Producción montada, Producción montada, Producción montada, Producción montada, Producción montada, Producción montada, Composición de cargas, Composición de cargas, Composición de cargas, Composición de cargas, Composición de cargas, Composición de cargas, Composición de cargas, Composición de cargas, Composición de cargas, Composición de cargas, Carga de esterilizador liberada, Carga de esterilizador liberada, Carga de esterilizador liberada, Carga de esterilizador liberada, Carga de esterilizador liberada, Carga de esterilizador liberada, Carga de esterilizador liberada, Carga de esterilizador liberada, Carga de esterilizador liberada, Carga de esterilizador liberada, Comisionado",24
"Carga de esterilizador liberada, Carga de esterilizador liberada, Comisionado",24
"Montaje, Producción montada, Composición de cargas, Carga de esterilizador liberada, Montaje, Producción montada, Composición de cargas, Carga de esterilizador liberada, Montaje, Producción montada, Composición de cargas, Carga de esterilizador liberada",22
"Entrada Material Sucio, Montaje, Producción montada, Composición de cargas, Carga de esterilizador liberada, Comisionado",22
"Montaje, Producción montada",21
"Entrada Material Sucio, Cargado en carro L+D, Carga L+D iniciada, Carga L+D liberada, Cargado en carro L+D, Carga L+D iniciada, Carga L+D liberada, Cargado en carro L+D, Carga L+D iniciada, Carga L+D liberada",20
"Entrada Material Sucio, Cargado en carro L+D, Carga L+D liberada",20
Cargado en carro L+D,19
"Montaje, Montaje, Producción montada, Producción montada, Producción montada, Composición de cargas, Composición de cargas, Composición de cargas, Carga de esterilizador liberada, Carga de esterilizador liberada, Carga de esterilizador liberada, Comisionado",19
"Entrada Material Sucio, Cargado en carro L+D, Carga L+D iniciada, Carga L+D liberada, Montaje, Producción montada, Composición de cargas, Carga de esterilizador liberada, Cargado en carro L+D, Carga L+D iniciada, Montaje, Producción montada, Composición de cargas, Carga de esterilizador liberada",18
"Entrada Material Sucio, Cargado en carro L+D, Carga L+D iniciada, Carga L+D liberada, Montaje, Producción montada, Montaje, Producción montada, Composición de cargas, Carga de esterilizador liberada",18
"Entrada Material Sucio, Cargado en carro L+D, Cargado en carro L+D, Carga L+D iniciada, Carga L+D iniciada, Carga L+D liberada, Carga L+D liberada, Montaje, Producción montada, Composición de cargas, Carga de esterilizador liberada",18
"Entrada Material Sucio, Cargado en carro L+D, Carga L+D iniciada, Carga L+D liberada, Montaje, Producción montada, Montaje, Producción montada, Composición de cargas, Carga de esterilizador liberada, Comisionado",18
"Montaje, Producción montada, Producción montada, Producción montada, Composición de cargas, Composición de cargas, Composición de cargas, Carga de esterilizador liberada, Carga de esterilizador liberada, Carga de esterilizador liberada",17
"Cargado en carro L+D, Carga L+D iniciada, Carga L+D liberada, Montaje, Producción montada, Producción montada, Composición de cargas, Composición de cargas, Carga de esterilizador liberada, Carga de esterilizador liberada, Comisionado",17
"Entrada Material Sucio, Montaje, Producción montada, Composición de cargas, Carga de esterilizador liberada",16
"Entrada Material Sucio, Cargado en carro L+D, Carga L+D iniciada, Carga L+D liberada, Montaje, Producción montada",16
"Entrada Material Sucio, Cargado en carro L+D, Carga L+D iniciada, Carga L+D liberada, Montaje, Producción montada, Composición de cargas, Carga de esterilizador liberada, Cargado en carro L+D, Carga L+D iniciada, Montaje, Producción montada, Composición de cargas, Carga de esterilizador liberada, Comisionado",16
"Entrada Material Sucio, Cargado en carro L+D, Carga L+D iniciada, Carga L+D liberada, Montaje, Producción montada, Composición de cargas, Montaje, Producción montada, Composición de cargas, Carga de esterilizador liberada, Comisionado",16
"Entrada Material Sucio, Cargado en carro L+D, Carga L+D iniciada, Cargado en carro L+D, Carga L+D iniciada, Carga L+D liberada, Montaje, Producción montada, Carga L+D liberada, Composición de cargas, Carga de esterilizador liberada, Comisionado",16
"Cargado en carro L+D, Carga L+D iniciada",16
"Montaje, Producción montada, Producción montada, Producción montada, Producción montada, Producción montada, Producción montada, Producción montada, Producción montada, Composición de cargas, Composición de cargas, Composición de cargas, Composición de cargas, Composición de cargas, Composición de cargas, Composición de cargas, Composición de cargas, Carga de esterilizador liberada, Carga de esterilizador liberada, Carga de esterilizador liberada, Carga de esterilizador liberada, Carga de esterilizador liberada, Carga de esterilizador liberada, Carga de esterilizador liberada, Carga de esterilizador liberada, Comisionado",16
"Montaje, Producción montada, Montaje, Producción montada, Montaje, Producción montada, Composición de cargas, Composición de cargas, Composición de cargas, Carga de esterilizador liberada, Carga de esterilizador liberada, Carga de esterilizador liberada, Comisionado",16
"Composición de cargas, Composición de cargas, Carga de esterilizador liberada, Carga de esterilizador liberada, Comisionado",16
"Montaje, Producción montada, Producción montada, Montaje, Producción montada, Composición de cargas, Composición de cargas, Composición de cargas, Carga de esterilizador liberada, Carga de esterilizador liberada, Carga de esterilizador liberada, Comisionado",15
"Entrada Material Sucio, Carga L+D liberada, Cargado en carro L+D, Carga L+D iniciada, Carga L+D liberada",15
"Montaje, Montaje, Producción montada, Composición de cargas, Carga de esterilizador liberada",15
"Entrada Material Sucio, Cargado en carro L+D, Cargado en carro L+D, Cargado en carro L+D, Carga L+D iniciada, Carga L+D iniciada, Carga L+D liberada, Carga L+D liberada, Montaje, Producción montada, Composición de cargas, Carga de esterilizador liberada, Comisionado",15
"Cargado en carro L+D, Cargado en carro L+D, Carga L+D iniciada, Carga L+D iniciada, Carga L+D liberada, Carga L+D liberada, Montaje, Producción montada, Composición de cargas, Carga de esterilizador liberada, Comisionado",15
"Entrada Material Sucio, Cargado en carro L+D, Carga L+D iniciada, Carga L+D liberada, Cargado en carro L+D",14
"Entrada Material Sucio, Cargado en carro L+D, Carga L+D iniciada, Cargado en carro L+D, Cargado en carro L+D, Carga L+D iniciada, Carga L+D liberada, Carga L+D liberada, Montaje, Producción montada, Composición de cargas, Carga de esterilizador liberada, Comisionado",14
"Cargado en carro L+D, Carga L+D iniciada, Carga L+D liberada, Cargado en carro L+D, Carga L+D iniciada, Carga L+D liberada, Montaje, Producción montada, Composición de cargas, Carga de esterilizador liberada, Comisionado",14
"Montaje, Producción montada, Montaje, Producción montada, Composición de cargas, Carga de esterilizador liberada, Comisionado",14
"Montaje, Producción montada, Composición de cargas, Composición de cargas, Carga de esterilizador liberada, Comisionado",14
"Montaje, Producción montada, Montaje, Producción montada, Producción montada, Composición de cargas, Composición de cargas, Composición de cargas, Carga de esterilizador liberada, Carga de esterilizador liberada, Carga de esterilizador liberada, Comisionado",13
"Montaje, Producción montada, Composición de cargas, Carga de esterilizador liberada, Montaje, Producción montada, Producción montada, Composición de cargas, Composición de cargas, Carga de esterilizador liberada, Carga de esterilizador liberada, Comisionado",13
"Entrada Material Sucio, Cargado en carro L+D, Cargado en carro L+D, Carga L+D iniciada, Cargado en carro L+D, Carga L+D iniciada, Carga L+D liberada, Carga L+D liberada, Montaje, Producción montada, Composición de cargas, Carga de esterilizador liberada, Comisionado",13
"Entrada Material Sucio, Cargado en carro L+D, Carga L+D iniciada, Carga L+D liberada, Montaje, Montaje, Montaje, Producción montada, Composición de cargas, Carga de esterilizador liberada",12
"Entrada Material Sucio, Cargado en carro L+D, Carga L+D iniciada, Cargado en carro L+D, Carga L+D liberada, Carga L+D iniciada, Carga L+D liberada, Montaje, Producción montada, Composición de cargas, Carga de esterilizador liberada, Comisionado",12
"Entrada Material Sucio, Cargado en carro L+D, Cargado en carro L+D, Carga L+D iniciada, Carga L+D liberada, Montaje, Montaje, Producción montada, Composición de cargas, Carga de esterilizador liberada, Comisionado",12
"Montaje, Montaje, Montaje, Producción montada, Producción montada, Producción montada, Composición de cargas, Composición de cargas, Composición de cargas, Carga de esterilizador liberada, Carga de esterilizador liberada, Carga de esterilizador liberada, Comisionado",12
"Montaje, Montaje, Producción montada, Producción montada, Producción montada, Producción montada, Composición de cargas, Composición de cargas, Composición de cargas, Composición de cargas, Carga de esterilizador liberada, Carga de esterilizador liberada, Carga de esterilizador liberada, Carga de esterilizador liberada, Comisionado",11
"Entrada Material Sucio, Cargado en carro L+D, Cargado en carro L+D, Carga L+D iniciada, Carga L+D iniciada, Carga L+D liberada",11
"Entrada Material Sucio, Cargado en carro L+D, Carga L+D iniciada, Carga L+D liberada, Cargado en carro L+D, Carga L+D iniciada",11
"Entrada Material Sucio, Cargado en carro L+D, Cargado en carro L+D, Carga L+D iniciada, Carga L+D liberada, Cargado en carro L+D, Carga L+D iniciada, Carga L+D liberada",11
"Entrada Material Sucio, Cargado en carro L+D, Cargado en carro L+D, Cargado en carro L+D, Carga L+D iniciada, Carga L+D liberada, Montaje, Producción montada, Composición de cargas, Carga de esterilizador liberada, Comisionado",11
"Cargado en carro L+D, Cargado en carro L+D, Carga L+D iniciada, Carga L+D liberada, Montaje, Producción montada, Composición de cargas, Carga de esterilizador liberada, Comisionado",11
"Entrada Material Sucio, Carga de esterilizador liberada",10
"Entrada Material Sucio, Cargado en carro L+D, Carga L+D iniciada, Carga L+D liberada, Montaje, Producción montada, Composición de cargas, Carga de esterilizador liberada, Cargado en carro L+D, Carga L+D iniciada, Carga L+D liberada",10
"Cargado en carro L+D, Carga L+D iniciada, Carga L+D liberada, Montaje, Producción montada, Composición de cargas, Carga de esterilizador liberada, Cargado en carro L+D, Carga L+D iniciada, Carga L+D liberada, Montaje, Producción montada, Composición de cargas, Carga de esterilizador liberada",10
"Montaje, Producción montada, Composición de cargas, Carga de esterilizador liberada, Montaje, Producción montada, Comisionado",10
"Entrada Material Sucio, Cargado en carro L+D, Cargado en carro L+D, Carga L+D iniciada, Carga L+D liberada, Carga L+D iniciada, Carga L+D liberada, Montaje, Producción montada, Composición de cargas, Carga de esterilizador liberada, Comisionado",9
"Montaje, Producción montada, Composición de cargas, Carga de esterilizador liberada, Montaje, Producción montada, Composición de cargas, Carga de esterilizador liberada, Montaje, Producción montada, Composición de cargas, Carga de esterilizador liberada, Montaje, Producción montada, Composición de cargas, Carga de esterilizador liberada",8
"Montaje, Producción montada, Producción montada, Producción montada, Producción montada, Composición de cargas, Composición de cargas, Composición de cargas, Composición de cargas, Carga de esterilizador liberada, Carga de esterilizador liberada, Carga de esterilizador liberada, Carga de esterilizador liberada",8
"Montaje, Producción montada, Producción montada, Composición de cargas, Composición de cargas, Carga de esterilizador liberada, Carga de esterilizador liberada, Montaje, Producción montada, Composición de cargas, Carga de esterilizador liberada",8
"Entrada Material Sucio, Cargado en carro L+D, Cargado en carro L+D, Cargado en carro L+D, Carga L+D iniciada, Carga L+D liberada, Montaje, Producción montada, Composición de cargas, Carga de esterilizador liberada",8
"Entrada Material Sucio, Cargado en carro L+D, Carga L+D iniciada, Carga L+D liberada, Cargado en carro L+D, Carga L+D iniciada, Carga L+D liberada, Montaje, Producción montada, Composición de cargas, Carga de esterilizador liberada, Comisionado",8
"Entrada Material Sucio, Carga L+D iniciada, Carga L+D liberada, Montaje, Producción montada, Composición de cargas, Carga de esterilizador liberada, Comisionado",8
"Entrada Material Sucio, Cargado en carro L+D, Cargado en carro L+D, Carga L+D iniciada, Carga L+D iniciada, Carga L+D liberada, Montaje, Producción montada, Composición de cargas, Carga de esterilizador liberada, Comisionado",8
"Entrada Material Sucio, Cargado en carro L+D, Carga L+D iniciada, Cargado en carro L+D, Carga L+D iniciada, Carga L+D liberada, Carga L+D liberada, Montaje, Montaje, Producción montada, Composición de cargas, Carga de esterilizador liberada, Comisionado",8
"Cargado en carro L+D, Carga L+D iniciada, Carga L+D liberada, Montaje, Producción montada, Producción montada, Producción montada, Composición de cargas, Composición de cargas, Composición de cargas, Carga de esterilizador liberada, Carga de esterilizador liberada, Carga de esterilizador liberada, Comisionado",8
"Cargado en carro L+D, Carga L+D iniciada, Carga L+D iniciada, Carga L+D liberada, Montaje, Producción montada, Composición de cargas, Carga de esterilizador liberada, Comisionado",8
"Montaje, Producción montada, Producción montada, Montaje, Producción montada, Producción montada, Composición de cargas, Composición de cargas, Composición de cargas, Composición de cargas, Carga de esterilizador liberada, Carga de esterilizador liberada, Carga de esterilizador liberada, Carga de esterilizador liberada, Comisionado",8
"Montaje, Producción montada, Producción montada, Composición de cargas, Composición de cargas, Carga de esterilizador liberada, Carga de esterilizador liberada, Montaje, Producción montada, Composición de cargas, Carga de esterilizador liberada, Comisionado",8
"Montaje, Producción montada, Composición de cargas, Montaje, Producción montada, Carga de esterilizador liberada, Composición de cargas, Carga de esterilizador liberada, Comisionado",8
"Montaje, Producción montada, Producción montada, Producción montada, Producción montada, Producción montada, Producción montada, Producción montada, Producción montada, Producción montada, Composición de cargas, Composición de cargas, Composición de cargas, Composición de cargas, Composición de cargas, Composición de cargas, Composición de cargas, Composición de cargas, Composición de cargas, Carga de esterilizador liberada, Carga de esterilizador liberada, Carga de esterilizador liberada, Carga de esterilizador liberada, Carga de esterilizador liberada, Carga de esterilizador liberada, Carga de esterilizador liberada, Carga de esterilizador liberada, Carga de esterilizador liberada, Comisionado",8
"Montaje, Producción montada, Montaje, Composición de cargas, Carga de esterilizador liberada, Comisionado",8
"Carga de esterilizador liberada, Carga de esterilizador liberada, Carga de esterilizador liberada, Comisionado",8
