r.KitID,r.DurationBetweenSterilizations,r.CycleNumber,DurationDifference
CONT-NEONATOS-1,1439,1,
CONT-QUI.TRA-1,33,1,-13.0
CONT-QUI.ORL-3,286,1,-945.0
CONT-QUI.ORL-1,1027,1,735.0
HGY-QUI.CP.CAJA-0,1301,1,1230.0
CONT-QUI.ORL-3,991,1,705.0
HGY-URG.CAJA-0,1300,1,1299.0
CONT-QUI.CPL-2,1362,1,62.0
CONT-CIST-1,1096,1,783.0
DEP-QUI.TRA.STRYK-42,27,1,
CONT-QUI.CG-3,1373,1,-41.0
CONT-QUI.TRA-1,1224,1,1191.0
CONT-QUI.CPL-4,1428,1,229.0
HGY-QUI.URO.CAJA-0,0,1,-1.0
EQP-QUI.GINE.006-1,0,1,
EQP-QUI.GINE.005-3,0,1,
EQP-QUI.GINE.005-2,0,1,
EQP-QUI.GINE.005-1,0,1,
EQP-CCEE.GIN.005-5,0,1,
EQP-CCEE.GIN.002-5,1429,1,
TRAN-QUI.TRA.STRYKER-1,1,1,0.0
CONT-QUI.OFT-1,1358,1,1323.0
CONT-QUI.URO-3,88,1,
CONT-QUI.CPL-2,360,1,-1002.0
CONT-QUI.CP-2,498,1,-731.0
CONT-QUI.TRA-2,82,1,32.0
HGY-QUI.CP.CAJA-0,1375,1,74.0
CONT-QUI.OFT-2,1086,1,-144.0
CONT-HOS.OFT-1,5,1,
CONT-QUI.GINE-1,296,1,-858.0
CONT-QUI.CV-3,1416,1,1357.0
CONT-ELECT-2,0,1,-1.0
CONT-HDINA-1,0,1,-1.0
CONT-HOS.NEF-1,13,1,-1413.0
CONT-QUI.CP-2,1247,1,749.0
CONT-QUI.OFT-1,141,1,-1217.0
CONT-QUI.TRA-2,1429,1,1347.0
CONT-QUI.TRA-1,258,1,-966.0
CONT-URGENCIAS-2,1437,1,
CONT-QUI.CG-3,408,1,-965.0
HNB-OFT.002-6,91,1,
CONT-QUI.ORL-4,1149,1,-238.0
CONT-QUI.NEUR-3,1096,1,-172.0
CONT-HOS.NEF-1,1206,1,1193.0
CONT-UCSI-1,8,1,
CONT-HOS.GINE-2,21,1,
CONT-QUI.CV-5,158,1,-1238.0
CONT-CIST-1,30,1,-1066.0
CONT-QUI.ORL-3,301,1,-690.0
CONT-CCEE.ORL-3,8,1,
CONT-QUI.TRA-1,123,1,-135.0
CONT-QUI.GINE-1,1369,1,1073.0
CONT-QUI.CPL-2,295,1,-65.0
CONT-HOS.URPA-1,1436,1,
CONT-HOS.UCIP-1,1429,1,-10.0
CONT-NEONATOS-1,1434,1,-5.0
CONT-QUI.CP-2,20,1,-1227.0
CONT-QUI.CPL-4,473,1,-955.0
CONT-QUI.TRA-1,141,1,18.0
TRAN-QUI.TRA.STRYKER-2,161,1,-1241.0
CONT-QUI.CV-1,157,1,-1074.0
CONT-CESAREAS-1,806,1,
CONT-HOS.UCIA-2,1412,1,2.0
HNB-CPL.002-7,1,1,
HGY-URG.CAJA-0,1439,1,139.0
CONT-QUI.CPL-1,835,1,464.0
