Process Instance;Activity Name;Arrival;Start;Complete;Resources;Batch Number;Cluster Id;Batch Type;Natural Arrival Time
1;Entrada Material Sucio;2022-03-25 23:00:00;2022-03-26 06:00:00;2022-03-26 06:21:07;Usuario_AV;1;sid-5CBD3FF6-7B24-4CF2-8A46-F93DC969E27F;PARALLEL;
1;Cargado en carro L+D;2022-03-26 06:21:07;2022-03-26 06:21:07;2022-03-26 06:30:38;Usuario_AV;1;sid-7EA6B7E4-DF8E-409C-BA8B-67277BC5B31E;PARALLEL;
1;Carga L+D iniciada;2022-03-26 06:30:38;2022-03-26 06:30:38;2022-03-26 06:31:31;Usuario_AV;2;sid-AC68D104-4A40-4D25-A104-EF41EB1745A2;PARALLEL;
1;Instrumental normal;2022-03-26 06:31:31;2022-03-26 06:31:31;2022-03-26 07:31:31;Lavadora_#1;1;sid-B97A3A60-5F52-4BF8-81D8-7C005B14880E;PARALLEL;
1;Carga L+D liberada;2022-03-26 07:31:31;2022-03-26 07:39:00;2022-03-26 07:52:11;Usuario_AV;1;sid-0843CAC2-1650-439C-A750-FF8B35823E8A;PARALLEL;
1;assemply;2022-03-26 07:52:11;2022-03-26 07:52:11;2022-03-26 07:52:11;Usuario_AV;1;Activity_0n8tvc1;SEQUENTIAL_TASKBASED;
1;Montaje;2022-03-26 07:52:11;2022-03-26 07:52:11;2022-03-26 07:52:11;;1;Activity_0n8tvc1;SEQUENTIAL_TASKBASED;2022-03-26 07:52:11
1;Producción montada;2022-03-26 07:52:11;2022-03-26 07:52:11;2022-03-26 07:52:11;;1;Activity_0n8tvc1;SEQUENTIAL_TASKBASED;2022-03-26 07:52:11
1;Composición de cargas;2022-03-26 07:52:11;2022-03-26 07:52:11;2022-03-26 07:59:50;Usuario_AV;1;sid-1E2C1856-73F2-4126-A306-F50DE79D3093;PARALLEL;
1;INTRUM;2022-03-26 07:59:50;2022-03-26 07:59:50;2022-03-26 09:09:25;Autoclave_#3;1;sid-257780B6-2484-4B65-891F-01BF1C344E5E;PARALLEL;
1;Carga de esterilizador liberada;2022-03-26 09:09:25;2022-03-26 09:10:13;2022-03-26 09:14:33;Usuario_AV;3;sid-B6CA039C-A65D-4FB9-A43D-46FA7BADDBC4;PARALLEL;
2;Entrada Material Sucio;2022-03-26 00:12:29;2022-03-26 06:00:00;2022-03-26 06:21:07;Usuario_AV;1;sid-5CBD3FF6-7B24-4CF2-8A46-F93DC969E27F;PARALLEL;
2;Cargado en carro L+D;2022-03-26 06:21:07;2022-03-26 06:21:07;2022-03-26 06:30:38;Usuario_AV;1;sid-7EA6B7E4-DF8E-409C-BA8B-67277BC5B31E;PARALLEL;
2;Carga L+D iniciada;2022-03-26 06:30:38;2022-03-26 06:30:38;2022-03-26 06:31:31;Usuario_AV;2;sid-AC68D104-4A40-4D25-A104-EF41EB1745A2;PARALLEL;
2;Instrumental normal;2022-03-26 06:31:31;2022-03-26 06:31:31;2022-03-26 07:31:31;Lavadora_#1;1;sid-B97A3A60-5F52-4BF8-81D8-7C005B14880E;PARALLEL;
2;Carga L+D liberada;2022-03-26 07:31:31;2022-03-26 07:39:00;2022-03-26 07:52:11;Usuario_AV;1;sid-0843CAC2-1650-439C-A750-FF8B35823E8A;PARALLEL;
2;assemply;2022-03-26 07:52:11;2022-03-26 07:52:11;2022-03-26 07:52:11;Usuario_AV;1;Activity_0n8tvc1;SEQUENTIAL_TASKBASED;
2;Montaje;2022-03-26 07:52:11;2022-03-26 07:52:11;2022-03-26 07:52:11;;1;Activity_0n8tvc1;SEQUENTIAL_TASKBASED;2022-03-26 07:52:11
2;Producción montada;2022-03-26 07:52:11;2022-03-26 07:52:11;2022-03-26 07:52:11;;1;Activity_0n8tvc1;SEQUENTIAL_TASKBASED;2022-03-26 07:52:11
2;Composición de cargas;2022-03-26 07:52:11;2022-03-26 07:52:11;2022-03-26 07:59:50;Usuario_AV;1;sid-1E2C1856-73F2-4126-A306-F50DE79D3093;PARALLEL;
2;CONTENE;2022-03-26 07:59:50;2022-03-26 07:59:50;2022-03-26 09:09:25;Autoclave_#0;1;sid-7431B6F2-819F-4562-9FB3-1EFE00367CD6;PARALLEL;
2;Carga de esterilizador liberada;2022-03-26 09:09:25;2022-03-26 09:10:13;2022-03-26 09:14:33;Usuario_AV;3;sid-B6CA039C-A65D-4FB9-A43D-46FA7BADDBC4;PARALLEL;
3;Entrada Material Sucio;2022-03-26 00:42:07;2022-03-26 06:00:00;2022-03-26 06:21:07;Usuario_AV;1;sid-5CBD3FF6-7B24-4CF2-8A46-F93DC969E27F;PARALLEL;
3;Cargado en carro L+D;2022-03-26 06:21:07;2022-03-26 06:21:07;2022-03-26 06:26:21;Usuario_AV;2;sid-7EA6B7E4-DF8E-409C-BA8B-67277BC5B31E;PARALLEL;
3;Carga L+D iniciada;2022-03-26 06:26:21;2022-03-26 06:26:21;2022-03-26 06:34:00;Usuario_AV;1;sid-AC68D104-4A40-4D25-A104-EF41EB1745A2;PARALLEL;
3;Instrumental normal;2022-03-26 06:34:00;2022-03-26 06:34:00;2022-03-26 07:34:00;Lavadora_#3;2;sid-B97A3A60-5F52-4BF8-81D8-7C005B14880E;PARALLEL;
3;Carga L+D liberada;2022-03-26 07:34:00;2022-03-26 07:39:00;2022-03-26 07:52:11;Usuario_AV;1;sid-0843CAC2-1650-439C-A750-FF8B35823E8A;PARALLEL;
3;assemply;2022-03-26 07:52:11;2022-03-26 07:52:11;2022-03-26 07:52:11;Usuario_AV;1;Activity_0n8tvc1;SEQUENTIAL_TASKBASED;
3;Montaje;2022-03-26 07:52:11;2022-03-26 07:52:11;2022-03-26 07:52:11;;1;Activity_0n8tvc1;SEQUENTIAL_TASKBASED;2022-03-26 07:52:11
3;Producción montada;2022-03-26 07:52:11;2022-03-26 07:52:11;2022-03-26 07:52:11;;1;Activity_0n8tvc1;SEQUENTIAL_TASKBASED;2022-03-26 07:52:11
3;Composición de cargas;2022-03-26 07:52:11;2022-03-26 07:52:11;2022-03-26 07:59:50;Usuario_AV;1;sid-1E2C1856-73F2-4126-A306-F50DE79D3093;PARALLEL;
3;No Lumen;2022-03-26 07:59:50;2022-03-26 07:59:50;2022-03-26 08:39:50;VPro_#0;1;sid-F03F8225-9329-4ACA-B8EF-063069770E29;PARALLEL;
3;Carga de esterilizador liberada;2022-03-26 08:39:50;2022-03-26 08:56:11;2022-03-26 09:01:57;Usuario_AV;1;sid-B6CA039C-A65D-4FB9-A43D-46FA7BADDBC4;PARALLEL;
4;Entrada Material Sucio;2022-03-26 01:41:02;2022-03-26 06:00:00;2022-03-26 06:21:07;Usuario_AV;1;sid-5CBD3FF6-7B24-4CF2-8A46-F93DC969E27F;PARALLEL;
4;Cargado en carro L+D;2022-03-26 06:21:07;2022-03-26 06:21:07;2022-03-26 06:26:21;Usuario_AV;2;sid-7EA6B7E4-DF8E-409C-BA8B-67277BC5B31E;PARALLEL;
4;Carga L+D iniciada;2022-03-26 06:26:21;2022-03-26 06:26:21;2022-03-26 06:34:00;Usuario_AV;1;sid-AC68D104-4A40-4D25-A104-EF41EB1745A2;PARALLEL;
4;Priones;2022-03-26 06:34:00;2022-03-26 06:34:00;2022-03-26 07:34:00;Lavadora_#2;1;sid-08999B8E-F8FB-442F-AB30-4234EB32CAD0;PARALLEL;
4;Carga L+D liberada;2022-03-26 07:34:00;2022-03-26 07:39:00;2022-03-26 07:52:11;Usuario_AV;1;sid-0843CAC2-1650-439C-A750-FF8B35823E8A;PARALLEL;
4;assemply;2022-03-26 07:52:11;2022-03-26 07:52:11;2022-03-26 07:52:11;Usuario_AV;1;Activity_0n8tvc1;SEQUENTIAL_TASKBASED;
4;Montaje;2022-03-26 07:52:11;2022-03-26 07:52:11;2022-03-26 07:52:11;;1;Activity_0n8tvc1;SEQUENTIAL_TASKBASED;2022-03-26 07:52:11
4;Producción montada;2022-03-26 07:52:11;2022-03-26 07:52:11;2022-03-26 07:52:11;;1;Activity_0n8tvc1;SEQUENTIAL_TASKBASED;2022-03-26 07:52:11
