Process Instance;Activity Name;Arrival;Start;Complete;Resources;Batch Number;Cluster Id;Batch Type;Natural Arrival Time
1;Entrada Material Sucio;2022-03-01 00:00:00;2022-03-01 07:00:00;2022-03-01 07:17:50;Usuario_CLE;1;sid-5CBD3FF6-7B24-4CF2-8A46-F93DC969E27F;PARALLEL;
1;Cargado en carro L+D;2022-03-01 07:17:50;2022-03-01 07:33:48;2022-03-01 07:40:30;Usuario_CLE;1;sid-7EA6B7E4-DF8E-409C-BA8B-67277BC5B31E;PARALLEL;
1;Carga L+D iniciada;2022-03-01 07:40:30;2022-03-01 07:41:49;2022-03-01 07:44:04;Usuario_CLE;2;sid-AC68D104-4A40-4D25-A104-EF41EB1745A2;PARALLEL;
1;Instrumental normal;2022-03-01 07:44:04;2022-03-01 07:44:04;2022-03-01 08:44:04;Lavadora_L3;1;sid-B97A3A60-5F52-4BF8-81D8-7C005B14880E;PARALLEL;
1;Carga L+D liberada;2022-03-01 08:44:04;2022-03-01 08:44:23;2022-03-01 09:08:23;Usuario_CLE;2;sid-0843CAC2-1650-439C-A750-FF8B35823E8A;PARALLEL;
1;assemply;2022-03-01 09:08:23;2022-03-01 09:08:23;2022-03-01 09:08:23;Usuario_CLE;1;Activity_0n8tvc1;SEQUENTIAL_TASKBASED;
1;Montaje;2022-03-01 09:08:23;2022-03-01 09:08:23;2022-03-01 09:08:23;;1;Activity_0n8tvc1;SEQUENTIAL_TASKBASED;2022-03-01 09:08:23
1;Producción montada;2022-03-01 09:08:23;2022-03-01 09:08:23;2022-03-01 09:08:23;;1;Activity_0n8tvc1;SEQUENTIAL_TASKBASED;2022-03-01 09:08:23
1;Composición de cargas;2022-03-01 09:08:23;2022-03-01 09:08:23;2022-03-01 09:16:02;Usuario_CLE;1;sid-1E2C1856-73F2-4126-A306-F50DE79D3093;PARALLEL;
1;No Lumen;2022-03-01 09:16:02;2022-03-01 09:16:02;2022-03-01 09:56:02;VPro_Unnamed;1;sid-F03F8225-9329-4ACA-B8EF-063069770E29;PARALLEL;
1;Carga de esterilizador liberada;2022-03-01 09:56:02;2022-03-01 10:02:02;2022-03-01 10:07:48;Usuario_CLE;1;sid-B6CA039C-A65D-4FB9-A43D-46FA7BADDBC4;PARALLEL;
