Process Instance;Activity Name;Arrival;Start;Complete;Resources;Batch Number;Cluster Id;Batch Type;Natural Arrival Time
1;Scan Entered Kit;2022-01-01 07:00:00;2022-01-01 07:00:00;2022-01-01 07:21:29;Usuario_AV;1;sid-5CBD3FF6-7B24-4CF2-8A46-F93DC969E27F;PARALLEL;
1;Put on Rack;2022-01-01 07:21:29;2022-01-01 07:21:29;2022-01-01 07:35:07;Usuario_AV;1;sid-7EA6B7E4-DF8E-409C-BA8B-67277BC5B31E;PARALLEL;
1;Assign Washing Machine;2022-01-01 07:35:07;2022-01-01 07:35:07;2022-01-01 07:40:43;Usuario_AV;1;sid-AC68D104-4A40-4D25-A104-EF41EB1745A2;PARALLEL;
1;Instrumental normal;2022-01-01 07:40:43;2022-01-01 07:40:43;2022-01-01 08:50:43;Lavadora_#2;1;sid-B97A3A60-5F52-4BF8-81D8-7C005B14880E;PARALLEL;
1;Free Washing Machine;2022-01-01 08:50:43;2022-01-01 08:50:43;2022-01-01 09:20:49;Usuario_AV;1;sid-0843CAC2-1650-439C-A750-FF8B35823E8A;PARALLEL;
1;Assembly;2022-01-01 09:20:49;2022-01-01 09:39:52;2022-01-01 10:20:25;Usuario_AV;;;;
1;Assign Sterilization Machine;2022-01-01 10:20:25;2022-01-01 10:20:25;2022-01-01 10:25:27;Usuario_AV;3;sid-1E2C1856-73F2-4126-A306-F50DE79D3093;PARALLEL;
1;PRIONES;2022-01-01 10:25:27;2022-01-01 10:25:27;2022-01-01 12:10:27;Autoclave_#1;2;sid-C2BAE868-4117-4EC9-965B-EB16ABA26E8A;PARALLEL;
1;Free Sterilization Machine;2022-01-01 12:10:27;2022-01-01 12:10:27;2022-01-01 12:12:30;Usuario_AV;2;sid-B6CA039C-A65D-4FB9-A43D-46FA7BADDBC4;PARALLEL;
2;Scan Entered Kit;2022-01-01 08:18:00;2022-01-01 08:18:00;2022-01-01 08:24:21;Usuario_AV;2;sid-5CBD3FF6-7B24-4CF2-8A46-F93DC969E27F;PARALLEL;
2;Put on Rack;2022-01-01 08:24:21;2022-01-01 08:24:21;2022-01-01 08:24:21;Usuario_AV;2;sid-7EA6B7E4-DF8E-409C-BA8B-67277BC5B31E;PARALLEL;
2;Assign Washing Machine;2022-01-01 08:24:21;2022-01-01 08:24:21;2022-01-01 08:26:26;Usuario_AV;2;sid-AC68D104-4A40-4D25-A104-EF41EB1745A2;PARALLEL;
2;Instrumental normal;2022-01-01 08:26:26;2022-01-01 08:26:26;2022-01-01 09:36:26;Lavadora_#3;2;sid-B97A3A60-5F52-4BF8-81D8-7C005B14880E;PARALLEL;
2;Free Washing Machine;2022-01-01 09:36:26;2022-01-01 09:39:52;2022-01-01 09:42:24;Usuario_AV;2;sid-0843CAC2-1650-439C-A750-FF8B35823E8A;PARALLEL;
2;Assembly;2022-01-01 09:42:24;2022-01-01 09:42:24;2022-01-01 09:42:24;Usuario_AV;;;;
2;Assign Sterilization Machine;2022-01-01 09:42:24;2022-01-01 09:46:30;2022-01-01 09:52:06;Usuario_AV;1;sid-1E2C1856-73F2-4126-A306-F50DE79D3093;PARALLEL;
2;PRIONES;2022-01-01 09:52:06;2022-01-01 09:52:06;2022-01-01 11:37:06;Autoclave_#2;1;sid-C2BAE868-4117-4EC9-965B-EB16ABA26E8A;PARALLEL;
2;Free Sterilization Machine;2022-01-01 11:37:06;2022-01-01 11:41:27;2022-01-01 11:45:51;Usuario_AV;1;sid-B6CA039C-A65D-4FB9-A43D-46FA7BADDBC4;PARALLEL;
3;Scan Entered Kit;2022-01-01 08:18:00;2022-01-01 08:18:00;2022-01-01 08:24:21;Usuario_AV;2;sid-5CBD3FF6-7B24-4CF2-8A46-F93DC969E27F;PARALLEL;
3;Put on Rack;2022-01-01 08:24:21;2022-01-01 08:24:21;2022-01-01 08:24:21;Usuario_AV;2;sid-7EA6B7E4-DF8E-409C-BA8B-67277BC5B31E;PARALLEL;
3;Assign Washing Machine;2022-01-01 08:24:21;2022-01-01 08:24:21;2022-01-01 08:26:26;Usuario_AV;2;sid-AC68D104-4A40-4D25-A104-EF41EB1745A2;PARALLEL;
3;Instrumental normal;2022-01-01 08:26:26;2022-01-01 08:26:26;2022-01-01 09:36:26;Lavadora_#3;2;sid-B97A3A60-5F52-4BF8-81D8-7C005B14880E;PARALLEL;
3;Free Washing Machine;2022-01-01 09:36:26;2022-01-01 09:39:52;2022-01-01 09:42:24;Usuario_AV;2;sid-0843CAC2-1650-439C-A750-FF8B35823E8A;PARALLEL;
3;Assembly;2022-01-01 09:42:24;2022-01-01 09:42:24;2022-01-01 10:15:47;Usuario_AV;;;;
3;Assign Sterilization Machine;2022-01-01 10:15:47;2022-01-01 10:15:47;2022-01-01 10:17:52;Usuario_AV;2;sid-1E2C1856-73F2-4126-A306-F50DE79D3093;PARALLEL;
3;INTRUM;2022-01-01 10:17:52;2022-01-01 10:17:52;2022-01-01 11:37:52;Autoclave_#0;1;sid-257780B6-2484-4B65-891F-01BF1C344E5E;PARALLEL;
3;Free Sterilization Machine;2022-01-01 11:37:52;2022-01-01 11:41:27;2022-01-01 11:45:51;Usuario_AV;1;sid-B6CA039C-A65D-4FB9-A43D-46FA7BADDBC4;PARALLEL;
4;Scan Entered Kit;2022-01-01 09:15:23;2022-01-01 09:20:49;2022-01-01 09:39:52;Usuario_AV;3;sid-5CBD3FF6-7B24-4CF2-8A46-F93DC969E27F;PARALLEL;
