Process Instance;Activity Name;Arrival;Start;Complete;Resources;Batch Number;Cluster Id;Batch Type;Natural Arrival Time
1;Entrada Material Sucio;2022-01-01 07:00:00;2022-01-01 07:00:00;2022-01-01 07:30:14;Usuario_AV;1;sid-5CBD3FF6-7B24-4CF2-8A46-F93DC969E27F;PARALLEL;
1;Cargado en carro L+D;2022-01-01 07:30:14;2022-01-01 07:30:14;2022-01-01 07:52:17;Usuario_AV;1;sid-7EA6B7E4-DF8E-409C-BA8B-67277BC5B31E;PARALLEL;
1;Carga L+D iniciada;2022-01-01 07:52:17;2022-01-01 07:52:17;2022-01-01 07:59:56;Usuario_AV;1;sid-AC68D104-4A40-4D25-A104-EF41EB1745A2;PARALLEL;
1;Instrumental normal;2022-01-01 07:59:56;2022-01-01 07:59:56;2022-01-01 08:59:56;Lavadora_#2;1;sid-B97A3A60-5F52-4BF8-81D8-7C005B14880E;PARALLEL;
1;Carga L+D liberada;2022-01-01 08:59:56;2022-01-01 09:03:09;2022-01-01 09:11:14;Usuario_AV;1;sid-0843CAC2-1650-439C-A750-FF8B35823E8A;PARALLEL;
1;assemply;2022-01-01 09:11:14;2022-01-01 09:24:26;2022-01-01 09:24:26;Usuario_AV;1;Activity_0n8tvc1;SEQUENTIAL_TASKBASED;
1;Montaje;2022-01-01 09:24:26;2022-01-01 09:24:26;2022-01-01 09:24:26;;1;Activity_0n8tvc1;SEQUENTIAL_TASKBASED;2022-01-01 09:11:14
1;Producción montada;2022-01-01 09:24:26;2022-01-01 09:24:26;2022-01-01 09:24:26;;1;Activity_0n8tvc1;SEQUENTIAL_TASKBASED;2022-01-01 09:24:26
1;Composición de cargas;2022-01-01 09:24:26;2022-01-01 09:30:08;2022-01-01 09:37:47;Usuario_AV;1;sid-1E2C1856-73F2-4126-A306-F50DE79D3093;PARALLEL;
1;PRIONES;2022-01-01 09:37:47;2022-01-01 09:37:47;2022-01-01 10:47:22;Autoclave_#2;1;sid-C2BAE868-4117-4EC9-965B-EB16ABA26E8A;PARALLEL;
1;Carga de esterilizador liberada;2022-01-01 10:47:22;2022-01-01 11:28:55;2022-01-01 11:34:41;Usuario_AV;1;sid-B6CA039C-A65D-4FB9-A43D-46FA7BADDBC4;PARALLEL;
