Process Instance;Activity Name;Arrival;Start;Complete;Resources;Batch Number;Cluster Id;Batch Type;Natural Arrival Time
1;Entrada Material Sucio;2021-12-31 18:00:00;2022-01-01 01:00:00;2022-01-01 01:21:07;Usuario_AV;1;sid-5CBD3FF6-7B24-4CF2-8A46-F93DC969E27F;PARALLEL;
1;Cargado en carro L+D;2022-01-01 01:21:07;2022-01-01 01:34:29;2022-01-01 01:45:33;Usuario_AV;1;sid-7EA6B7E4-DF8E-409C-BA8B-67277BC5B31E;PARALLEL;
1;Carga L+D iniciada;2022-01-01 01:45:33;2022-01-01 01:45:33;2022-01-01 01:51:03;Usuario_AV;3;sid-AC68D104-4A40-4D25-A104-EF41EB1745A2;PARALLEL;
1;Instrumental normal;2022-01-01 01:51:03;2022-01-01 02:44:53;2022-01-01 03:44:53;Lavadora_#1;4;sid-B97A3A60-5F52-4BF8-81D8-7C005B14880E;PARALLEL;
1;Carga L+D liberada;2022-01-01 03:44:53;2022-01-01 04:07:06;2022-01-01 04:18:28;Usuario_AV;5;sid-0843CAC2-1650-439C-A750-FF8B35823E8A;PARALLEL;
1;assemply;2022-01-01 04:18:28;2022-01-01 04:18:28;2022-01-01 04:18:28;Usuario_AV;9;Activity_0n8tvc1;SEQUENTIAL_TASKBASED;
1;Montaje;2022-01-01 04:18:28;2022-01-01 04:18:28;2022-01-01 04:18:28;;9;Activity_0n8tvc1;SEQUENTIAL_TASKBASED;2022-01-01 04:18:28
1;Producción montada;2022-01-01 04:18:28;2022-01-01 04:18:28;2022-01-01 04:18:28;;9;Activity_0n8tvc1;SEQUENTIAL_TASKBASED;2022-01-01 04:18:28
1;Composición de cargas;2022-01-01 04:18:28;2022-01-01 04:18:28;2022-01-01 04:18:28;Usuario_AV;9;sid-1E2C1856-73F2-4126-A306-F50DE79D3093;PARALLEL;
1;CONTENE;2022-01-01 04:18:28;2022-01-01 05:15:44;2022-01-01 06:26:48;Autoclave_#3;3;sid-7431B6F2-819F-4562-9FB3-1EFE00367CD6;PARALLEL;
1;Carga de esterilizador liberada;2022-01-01 06:26:48;2022-01-01 06:29:22;2022-01-01 06:29:22;Usuario_AV;8;sid-B6CA039C-A65D-4FB9-A43D-46FA7BADDBC4;PARALLEL;
2;Entrada Material Sucio;2021-12-31 18:13:12;2022-01-01 01:00:00;2022-01-01 01:21:07;Usuario_AV;1;sid-5CBD3FF6-7B24-4CF2-8A46-F93DC969E27F;PARALLEL;
2;Cargado en carro L+D;2022-01-01 01:21:07;2022-01-01 01:34:29;2022-01-01 01:45:33;Usuario_AV;1;sid-7EA6B7E4-DF8E-409C-BA8B-67277BC5B31E;PARALLEL;
2;Carga L+D iniciada;2022-01-01 01:45:33;2022-01-01 01:45:33;2022-01-01 01:51:03;Usuario_AV;3;sid-AC68D104-4A40-4D25-A104-EF41EB1745A2;PARALLEL;
2;Instrumental normal;2022-01-01 01:51:03;2022-01-01 02:44:53;2022-01-01 03:44:53;Lavadora_#1;4;sid-B97A3A60-5F52-4BF8-81D8-7C005B14880E;PARALLEL;
2;Carga L+D liberada;2022-01-01 03:44:53;2022-01-01 04:07:06;2022-01-01 04:18:28;Usuario_AV;5;sid-0843CAC2-1650-439C-A750-FF8B35823E8A;PARALLEL;
2;assemply;2022-01-01 04:18:28;2022-01-01 04:18:28;2022-01-01 04:18:28;Usuario_AV;9;Activity_0n8tvc1;SEQUENTIAL_TASKBASED;
2;Montaje;2022-01-01 04:18:28;2022-01-01 04:18:28;2022-01-01 04:18:28;;9;Activity_0n8tvc1;SEQUENTIAL_TASKBASED;2022-01-01 04:18:28
2;Producción montada;2022-01-01 04:18:28;2022-01-01 04:18:28;2022-01-01 04:18:28;;9;Activity_0n8tvc1;SEQUENTIAL_TASKBASED;2022-01-01 04:18:28
2;Composición de cargas;2022-01-01 04:18:28;2022-01-01 04:18:28;2022-01-01 04:18:28;Usuario_AV;9;sid-1E2C1856-73F2-4126-A306-F50DE79D3093;PARALLEL;
2;CONTENE;2022-01-01 04:18:28;2022-01-01 05:15:44;2022-01-01 06:26:48;Autoclave_#3;3;sid-7431B6F2-819F-4562-9FB3-1EFE00367CD6;PARALLEL;
2;Carga de esterilizador liberada;2022-01-01 06:26:48;2022-01-01 06:29:22;2022-01-01 06:29:22;Usuario_AV;8;sid-B6CA039C-A65D-4FB9-A43D-46FA7BADDBC4;PARALLEL;
3;Entrada Material Sucio;2021-12-31 18:24:19;2022-01-01 01:00:00;2022-01-01 01:21:07;Usuario_AV;1;sid-5CBD3FF6-7B24-4CF2-8A46-F93DC969E27F;PARALLEL;
3;Cargado en carro L+D;2022-01-01 01:21:07;2022-01-01 01:34:29;2022-01-01 01:44:00;Usuario_AV;2;sid-7EA6B7E4-DF8E-409C-BA8B-67277BC5B31E;PARALLEL;
3;Carga L+D iniciada;2022-01-01 01:44:00;2022-01-01 01:44:00;2022-01-01 01:44:53;Usuario_AV;2;sid-AC68D104-4A40-4D25-A104-EF41EB1745A2;PARALLEL;
3;Instrumental normal;2022-01-01 01:44:53;2022-01-01 01:44:53;2022-01-01 02:44:53;Lavadora_#1;1;sid-B97A3A60-5F52-4BF8-81D8-7C005B14880E;PARALLEL;
3;Carga L+D liberada;2022-01-01 02:44:53;2022-01-01 02:46:24;2022-01-01 02:59:35;Usuario_AV;1;sid-0843CAC2-1650-439C-A750-FF8B35823E8A;PARALLEL;
3;assemply;2022-01-01 02:59:35;2022-01-01 02:59:35;2022-01-01 02:59:35;Usuario_AV;1;Activity_0n8tvc1;SEQUENTIAL_TASKBASED;
3;Montaje;2022-01-01 02:59:35;2022-01-01 02:59:35;2022-01-01 02:59:35;;1;Activity_0n8tvc1;SEQUENTIAL_TASKBASED;2022-01-01 02:59:35
3;Producción montada;2022-01-01 02:59:35;2022-01-01 02:59:35;2022-01-01 02:59:35;;1;Activity_0n8tvc1;SEQUENTIAL_TASKBASED;2022-01-01 02:59:35
3;Composición de cargas;2022-01-01 02:59:35;2022-01-01 02:59:35;2022-01-01 03:07:14;Usuario_AV;1;sid-1E2C1856-73F2-4126-A306-F50DE79D3093;PARALLEL;
3;PRIONES;2022-01-01 03:07:14;2022-01-01 04:11:29;2022-01-01 05:15:44;Autoclave_#3;2;sid-C2BAE868-4117-4EC9-965B-EB16ABA26E8A;PARALLEL;
3;Carga de esterilizador liberada;2022-01-01 05:15:44;2022-01-01 05:15:44;2022-01-01 05:20:20;Usuario_AV;4;sid-B6CA039C-A65D-4FB9-A43D-46FA7BADDBC4;PARALLEL;
4;Entrada Material Sucio;2021-12-31 18:38:04;2022-01-01 01:00:00;2022-01-01 01:21:07;Usuario_AV;1;sid-5CBD3FF6-7B24-4CF2-8A46-F93DC969E27F;PARALLEL;
4;Cargado en carro L+D;2022-01-01 01:21:07;2022-01-01 01:34:29;2022-01-01 01:44:00;Usuario_AV;2;sid-7EA6B7E4-DF8E-409C-BA8B-67277BC5B31E;PARALLEL;
4;Carga L+D iniciada;2022-01-01 01:44:00;2022-01-01 01:44:00;2022-01-01 01:44:53;Usuario_AV;2;sid-AC68D104-4A40-4D25-A104-EF41EB1745A2;PARALLEL;
4;Instrumental normal;2022-01-01 01:44:53;2022-01-01 01:44:53;2022-01-01 02:44:53;Lavadora_#1;1;sid-B97A3A60-5F52-4BF8-81D8-7C005B14880E;PARALLEL;
4;Carga L+D liberada;2022-01-01 02:44:53;2022-01-01 02:46:24;2022-01-01 02:59:35;Usuario_AV;1;sid-0843CAC2-1650-439C-A750-FF8B35823E8A;PARALLEL;
4;assemply;2022-01-01 02:59:35;2022-01-01 02:59:35;2022-01-01 02:59:35;Usuario_AV;1;Activity_0n8tvc1;SEQUENTIAL_TASKBASED;
4;Montaje;2022-01-01 02:59:35;2022-01-01 02:59:35;2022-01-01 02:59:35;;1;Activity_0n8tvc1;SEQUENTIAL_TASKBASED;2022-01-01 02:59:35
4;Producción montada;2022-01-01 02:59:35;2022-01-01 02:59:35;2022-01-01 02:59:35;;1;Activity_0n8tvc1;SEQUENTIAL_TASKBASED;2022-01-01 02:59:35
4;Composición de cargas;2022-01-01 02:59:35;2022-01-01 02:59:35;2022-01-01 03:07:14;Usuario_AV;1;sid-1E2C1856-73F2-4126-A306-F50DE79D3093;PARALLEL;
4;PRIONES;2022-01-01 03:07:14;2022-01-01 04:11:29;2022-01-01 05:15:44;Autoclave_#3;2;sid-C2BAE868-4117-4EC9-965B-EB16ABA26E8A;PARALLEL;
4;Carga de esterilizador liberada;2022-01-01 05:15:44;2022-01-01 05:15:44;2022-01-01 05:20:20;Usuario_AV;4;sid-B6CA039C-A65D-4FB9-A43D-46FA7BADDBC4;PARALLEL;
5;Entrada Material Sucio;2021-12-31 18:53:18;2022-01-01 01:00:00;2022-01-01 01:21:07;Usuario_AV;1;sid-5CBD3FF6-7B24-4CF2-8A46-F93DC969E27F;PARALLEL;
5;Cargado en carro L+D;2022-01-01 01:21:07;2022-01-01 01:34:29;2022-01-01 01:39:43;Usuario_AV;3;sid-7EA6B7E4-DF8E-409C-BA8B-67277BC5B31E;PARALLEL;
5;Carga L+D iniciada;2022-01-01 01:39:43;2022-01-01 01:39:56;2022-01-01 01:47:35;Usuario_AV;1;sid-AC68D104-4A40-4D25-A104-EF41EB1745A2;PARALLEL;
5;Instrumental normal;2022-01-01 01:47:35;2022-01-01 01:47:35;2022-01-01 02:47:35;Lavadora_#3;2;sid-B97A3A60-5F52-4BF8-81D8-7C005B14880E;PARALLEL;
