Process Instance;Activity Name;Arrival;Start;Complete;Resources;Batch Number;Cluster Id;Batch Type;Natural Arrival Time
10;Free Washing Machine;2022-01-01 09:54:38;2022-01-01 09:57:34;2022-01-01 10:01:08;Usuario_AV;6;sid-0843CAC2-1650-439C-A750-FF8B35823E8A;PARALLEL;
10;Assembly;2022-01-01 10:01:08;2022-01-01 10:01:08;2022-01-01 10:01:38;Usuario_AV;;;;
10;Assign Sterilization Machine;2022-01-01 10:01:38;2022-01-01 10:01:56;2022-01-01 10:02:53;Usuario_AV;8;sid-1E2C1856-73F2-4126-A306-F50DE79D3093;PARALLEL;
10;INTRUM;2022-01-01 10:02:53;2022-01-01 10:21:56;2022-01-01 11:41:56;Autoclave_#2;3;sid-257780B6-2484-4B65-891F-01BF1C344E5E;PARALLEL;
10;Free Sterilization Machine;2022-01-01 11:41:56;2022-01-01 11:42:04;2022-01-01 11:51:34;Usuario_AV;6;sid-B6CA039C-A65D-4FB9-A43D-46FA7BADDBC4;PARALLEL;
11;Scan Entered Kit;2022-01-01 08:11:59;2022-01-01 08:12:22;2022-01-01 08:22:28;Usuario_AV;7;sid-5CBD3FF6-7B24-4CF2-8A46-F93DC969E27F;PARALLEL;
11;Put on Rack;2022-01-01 08:22:28;2022-01-01 08:22:28;2022-01-01 08:38:38;Usuario_AV;7;sid-7EA6B7E4-DF8E-409C-BA8B-67277BC5B31E;PARALLEL;
11;Assign Washing Machine;2022-01-01 08:38:38;2022-01-01 08:38:38;2022-01-01 08:42:12;Usuario_AV;6;sid-AC68D104-4A40-4D25-A104-EF41EB1745A2;PARALLEL;
11;Priones;2022-01-01 08:42:12;2022-01-01 08:44:38;2022-01-01 09:44:38;Lavadora_#3;1;sid-08999B8E-F8FB-442F-AB30-4234EB32CAD0;PARALLEL;
11;Free Washing Machine;2022-01-01 09:44:38;2022-01-01 09:44:38;2022-01-01 09:51:39;Usuario_AV;5;sid-0843CAC2-1650-439C-A750-FF8B35823E8A;PARALLEL;
11;Assembly;2022-01-01 09:51:39;2022-01-01 09:51:39;2022-01-01 09:54:12;Usuario_AV;;;;
11;Assign Sterilization Machine;2022-01-01 09:54:12;2022-01-01 09:54:12;2022-01-01 09:57:46;Usuario_AV;6;sid-1E2C1856-73F2-4126-A306-F50DE79D3093;PARALLEL;
11;INTRUM;2022-01-01 09:57:46;2022-01-01 10:21:56;2022-01-01 11:41:56;Autoclave_#2;3;sid-257780B6-2484-4B65-891F-01BF1C344E5E;PARALLEL;
11;Free Sterilization Machine;2022-01-01 11:41:56;2022-01-01 11:42:04;2022-01-01 11:51:34;Usuario_AV;6;sid-B6CA039C-A65D-4FB9-A43D-46FA7BADDBC4;PARALLEL;
12;Scan Entered Kit;2022-01-01 08:12:17;2022-01-01 08:12:22;2022-01-01 08:22:28;Usuario_AV;7;sid-5CBD3FF6-7B24-4CF2-8A46-F93DC969E27F;PARALLEL;
12;Put on Rack;2022-01-01 08:22:28;2022-01-01 08:22:28;2022-01-01 08:38:38;Usuario_AV;7;sid-7EA6B7E4-DF8E-409C-BA8B-67277BC5B31E;PARALLEL;
12;Assign Washing Machine;2022-01-01 08:38:38;2022-01-01 08:38:38;2022-01-01 08:42:12;Usuario_AV;6;sid-AC68D104-4A40-4D25-A104-EF41EB1745A2;PARALLEL;
12;Instrumental normal;2022-01-01 08:42:12;2022-01-01 08:44:38;2022-01-01 09:54:38;Lavadora_#3;6;sid-B97A3A60-5F52-4BF8-81D8-7C005B14880E;PARALLEL;
12;Free Washing Machine;2022-01-01 09:54:38;2022-01-01 09:57:34;2022-01-01 10:01:08;Usuario_AV;6;sid-0843CAC2-1650-439C-A750-FF8B35823E8A;PARALLEL;
12;Assembly;2022-01-01 10:01:08;2022-01-01 10:01:38;2022-01-01 10:43:07;Usuario_AV;;;;
