Process Instance;Activity Name;Arrival;Start;Complete;Resources;Batch Number;Cluster Id;Batch Type;Natural Arrival Time
1;Entrada Material Sucio;2022-03-26 07:00:00;2022-03-26 08:00:00;2022-03-26 08:09:15;Usuario_AV;1;sid-5CBD3FF6-7B24-4CF2-8A46-F93DC969E27F;PARALLEL;
1;Cargado en carro L+D;2022-03-26 08:09:15;2022-03-26 08:09:15;2022-03-26 08:14:15;Usuario_AV;1;sid-7EA6B7E4-DF8E-409C-BA8B-67277BC5B31E;PARALLEL;
1;Carga L+D iniciada;2022-03-26 08:14:15;2022-03-26 08:14:15;2022-03-26 08:21:54;Usuario_AV;1;sid-AC68D104-4A40-4D25-A104-EF41EB1745A2;PARALLEL;
1;Instrumental normal;2022-03-26 08:21:54;2022-03-26 08:21:54;2022-03-26 09:21:54;Lavadora_L1;2;sid-B97A3A60-5F52-4BF8-81D8-7C005B14880E;PARALLEL;
1;Carga L+D liberada;2022-03-26 09:21:54;2022-03-26 09:21:54;2022-03-26 09:52:07;Usuario_AV;2;sid-0843CAC2-1650-439C-A750-FF8B35823E8A;PARALLEL;
1;assemply;2022-03-26 09:52:07;2022-03-26 09:52:07;2022-03-26 09:52:07;Usuario_AV;3;Activity_0n8tvc1;SEQUENTIAL_TASKBASED;
1;Montaje;2022-03-26 09:52:07;2022-03-26 09:52:07;2022-03-26 09:52:07;;3;Activity_0n8tvc1;SEQUENTIAL_TASKBASED;2022-03-26 09:52:07
1;Producción montada;2022-03-26 09:52:07;2022-03-26 09:52:07;2022-03-26 09:52:07;;3;Activity_0n8tvc1;SEQUENTIAL_TASKBASED;2022-03-26 09:52:07
1;Composición de cargas;2022-03-26 09:52:07;2022-03-26 09:52:07;2022-03-26 09:57:37;Usuario_AV;3;sid-1E2C1856-73F2-4126-A306-F50DE79D3093;PARALLEL;
1;No Lumen;2022-03-26 09:57:37;2022-03-26 09:57:37;2022-03-26 10:37:37;VPro_Unnamed;1;sid-F03F8225-9329-4ACA-B8EF-063069770E29;PARALLEL;
1;Carga de esterilizador liberada;2022-03-26 10:37:37;2022-03-26 10:41:15;2022-03-26 10:47:01;Usuario_AV;1;sid-B6CA039C-A65D-4FB9-A43D-46FA7BADDBC4;PARALLEL;
2;Entrada Material Sucio;2022-03-26 07:19:25;2022-03-26 08:00:00;2022-03-26 08:09:15;Usuario_AV;1;sid-5CBD3FF6-7B24-4CF2-8A46-F93DC969E27F;PARALLEL;
2;Cargado en carro L+D;2022-03-26 08:09:15;2022-03-26 08:09:15;2022-03-26 08:14:15;Usuario_AV;1;sid-7EA6B7E4-DF8E-409C-BA8B-67277BC5B31E;PARALLEL;
2;Carga L+D iniciada;2022-03-26 08:14:15;2022-03-26 08:14:15;2022-03-26 08:21:54;Usuario_AV;1;sid-AC68D104-4A40-4D25-A104-EF41EB1745A2;PARALLEL;
2;Priones;2022-03-26 08:21:54;2022-03-26 08:21:54;2022-03-26 09:21:54;Lavadora_<enter name>;1;sid-08999B8E-F8FB-442F-AB30-4234EB32CAD0;PARALLEL;
2;Carga L+D liberada;2022-03-26 09:21:54;2022-03-26 09:21:54;2022-03-26 09:52:07;Usuario_AV;2;sid-0843CAC2-1650-439C-A750-FF8B35823E8A;PARALLEL;
2;assemply;2022-03-26 09:52:07;2022-03-26 09:52:07;2022-03-26 09:52:07;Usuario_AV;3;Activity_0n8tvc1;SEQUENTIAL_TASKBASED;
2;Montaje;2022-03-26 09:52:07;2022-03-26 09:52:07;2022-03-26 09:52:07;;3;Activity_0n8tvc1;SEQUENTIAL_TASKBASED;2022-03-26 09:52:07
2;Producción montada;2022-03-26 09:52:07;2022-03-26 09:52:07;2022-03-26 09:52:07;;3;Activity_0n8tvc1;SEQUENTIAL_TASKBASED;2022-03-26 09:52:07
2;Composición de cargas;2022-03-26 09:52:07;2022-03-26 09:52:07;2022-03-26 09:57:37;Usuario_AV;3;sid-1E2C1856-73F2-4126-A306-F50DE79D3093;PARALLEL;
2;CONTENE;2022-03-26 09:57:37;2022-03-26 09:57:37;2022-03-26 11:01:52;Autoclave_<enter name>;2;sid-7431B6F2-819F-4562-9FB3-1EFE00367CD6;PARALLEL;
2;Carga de esterilizador liberada;2022-03-26 11:01:52;2022-03-26 11:01:52;2022-03-26 11:06:28;Usuario_AV;4;sid-B6CA039C-A65D-4FB9-A43D-46FA7BADDBC4;PARALLEL;
3;Entrada Material Sucio;2022-03-26 07:27:33;2022-03-26 08:00:00;2022-03-26 08:09:15;Usuario_AV;1;sid-5CBD3FF6-7B24-4CF2-8A46-F93DC969E27F;PARALLEL;
3;Cargado en carro L+D;2022-03-26 08:09:15;2022-03-26 08:09:15;2022-03-26 08:17:15;Usuario_AV;2;sid-7EA6B7E4-DF8E-409C-BA8B-67277BC5B31E;PARALLEL;
3;Carga L+D iniciada;2022-03-26 08:17:15;2022-03-26 08:17:15;2022-03-26 08:18:08;Usuario_AV;2;sid-AC68D104-4A40-4D25-A104-EF41EB1745A2;PARALLEL;
3;Instrumental normal;2022-03-26 08:18:08;2022-03-26 08:18:08;2022-03-26 09:18:08;Lavadora_L3;1;sid-B97A3A60-5F52-4BF8-81D8-7C005B14880E;PARALLEL;
3;Carga L+D liberada;2022-03-26 09:18:08;2022-03-26 09:18:08;2022-03-26 09:28:52;Usuario_AV;1;sid-0843CAC2-1650-439C-A750-FF8B35823E8A;PARALLEL;
3;assemply;2022-03-26 09:28:52;2022-03-26 09:28:52;2022-03-26 09:28:52;Usuario_AV;1;Activity_0n8tvc1;SEQUENTIAL_TASKBASED;
3;Montaje;2022-03-26 09:28:52;2022-03-26 09:28:52;2022-03-26 09:28:52;;1;Activity_0n8tvc1;SEQUENTIAL_TASKBASED;2022-03-26 09:28:52
